symbol,sector
AARTIIND,Chemicals
ABB,Capital_Goods
ABBOTINDIA,Pharma
ABCAPITAL,Finance
ABFRL,Textile
ACC,Cement
ADANIENT,Infrastructure
ADANIPORTS,Infrastructure
ALKEM,Pharma
AMARAJABAT,Automobile
AMBUJACEM,Cement
APOLLOHOSP,Pharma
APOLLOTYRE,Automobile
ASHOKLEY,Automobile
ASIANPAINT,FMCG
ASTRAL,Capital_Goods
ATUL,Chemicals
AUBANK,Banking
AUROPHARMA,Pharma
AXISBANK,Banking
BAJAJ-AUTO,Automobile
BAJAJFINSV,Finance
BAJFINANCE,Finance
BALKRISIND,Automobile
BALRAMCHIN,FMCG
BANDHANBNK,Banking
BANKBARODA,Banking
BATAINDIA,FMCG
BEL,Capital_Goods
BERGEPAINT,FMCG
BHARATFORG,Automobile
BHARTIARTL,Telecom
BHEL,Capital_Goods
BIOCON,Pharma
BOSCHLTD,Automobile
BPCL,Oil_Gas
BRITANNIA,FMCG
BSOFT,Technology
CANBK,Banking
CANFINHOME,Finance
CHAMBLFERT,Chemicals
CHOLAFIN,Finance
CIPLA,Pharma
COALINDIA,Metals
COFORGE,Technology
COLPAL,FMCG
CONCOR,Infrastructure
COROMANDEL,Chemicals
CROMPTON,Capital_Goods
CUB,Banking
CUMMINSIND,Capital_Goods
DABUR,FMCG
DALBHARAT,Cement
DEEPAKNTR,Chemicals
DELTACORP,Realty
DIVISLAB,Pharma
DIXON,Capital_Goods
DLF,Realty
DRREDDY,Pharma
EICHERMOT,Automobile
ESCORTS,Automobile
EXIDEIND,Automobile
FEDERALBNK,Banking
FSL,Technology
GAIL,Oil_Gas
GLENMARK,Pharma
GMRINFRA,Infrastructure
GNFC,Chemicals
GODREJCP,FMCG
GODREJPROP,Realty
GRANULES,Pharma
GRASIM,Cement
GSPL,Oil_Gas
GUJGASLTD,Oil_Gas
HAL,Capital_Goods
HAVELLS,Capital_Goods
HCLTECH,Technology
HDFC,Finance
HDFCAMC,Finance
HDFCBANK,Banking
HDFCLIFE,Finance
HEROMOTOCO,Automobile
HINDALCO,Metals
HINDCOPPER,Metals
HINDPETRO,Oil_Gas
HINDUNILVR,FMCG
HONAUT,Capital_Goods
IBULHSGFIN,Finance
ICICIBANK,Banking
ICICIGI,Finance
ICICIPRULI,Finance
IDEA,Telecom
IDFC,Finance
IDFCFIRSTB,Banking
IEX,Power
IGL,Oil_Gas
INDHOTEL,Realty
INDIACEM,Cement
INDIAMART,FMCG
INDIGO,Infrastructure
INDUSINDBK,Banking
INDUSTOWER,Telecom
INFY,Technology
INTELLECT,Technology
IOC,Oil_Gas
IPCALAB,Pharma
IRCTC,Infrastructure
ITC,FMCG
JINDALSTEL,Metals
JKCEMENT,Cement
JSWSTEEL,Metals
JUBLFOOD,FMCG
KOTAKBANK,Banking
L&TFH,Finance
LALPATHLAB,Pharma
LAURUSLABS,Pharma
LICHSGFIN,Finance
LT,Capital_Goods
LTI,Technology
LTTS,Technology
LUPIN,Pharma
M&M,Automobile
M&MFIN,Finance
MANAPPURAM,Finance
MARICO,FMCG
MARUTI,Automobile
MCDOWELL-N,FMCG
MCX,Technology
METROPOLIS,Pharma
MFSL,Finance
MGL,Oil_Gas
MINDTREE,Technology
MOTHERSON,Automobile
MPHASIS,Technology
MRF,Automobile
MUTHOOTFIN,Finance
NATIONALUM,Metals
NAUKRI,Technology
NAVINFLUOR,Chemicals
NESTLEIND,FMCG
NMDC,Metals
NTPC,Power
OBEROIRLTY,Realty
OFSS,Technology
ONGC,Oil_Gas
PAGEIND,Textile
PEL,Finance
PERSISTENT,Technology
PETRONET,Oil_Gas
PFC,Finance
PIDILITIND,FMCG
PIIND,Chemicals
PNB,Banking
POLYCAB,Capital_Goods
POWERGRID,Power
PVR,Media
RAIN,Chemicals
RAMCOCEM,Cement
RBLBANK,Banking
RECLTD,Finance
RELIANCE,Oil_Gas
SAIL,Metals
SBICARD,Finance
SBILIFE,Finance
SBIN,Banking
SHREECEM,Cement
SIEMENS,Capital_Goods
SRF,Textile
SRTRANSFIN,Finance
SUNPHARMA,Pharma
SUNTV,Media
SYNGENE,Pharma
TATACHEM,Chemicals
TATACOMM,Telecom
TATACONSUM,FMCG
TATAMOTORS,Automobile
TATAPOWER,Power
TATASTEEL,Metals
TCS,Technology
TECHM,Technology
TITAN,FMCG
TORNTPHARM,Pharma
TORNTPOWER,Power
TRENT,Textile
TVSMOTOR,Automobile
UBL,FMCG
ULTRACEMCO,Cement
UPL,Chemicals
VEDL,Metals
VOLTAS,Capital_Goods
WHIRLPOOL,Capital_Goods
WIPRO,Technology
ZEEL,Media
ZYDUSLIFE,Pharma
